user_id,name,email,goal,skills,competency_level,acquired_badges,learning_history,employment_history,education_level,engagement_metrics,recommendation_history
U10001,김민준,kim.minjun@email.com,Become an Emergency Medical Technician,"['CPR', 'First Aid', 'Emergency Response']",Intermediate,"['B10002']",Completed Basic Life Support course at Korean Red Cross,Volunteer at Seoul Hospital for 2 years,Bachelor's Degree,Highly Active,"['B10001', 'B10003']"
U10002,이서연,lee.seoyeon@gmail.com,Advance in Healthcare Career,"['Emergency Care', 'Patient Care']",Beginner,"[]",Currently enrolled in Emergency Medical Training Program,Working as hospital aide for 1 year,High school,Moderate,"['B10001', 'B10002', 'B10005']"
U10003,박지훈,park.jihoon@email.co.kr,Become a UI/UX Designer,"['User Research', 'Wireframing', 'Design Thinking']",Advanced,"['B10021', 'B10022']",Completed Google UX Design Certificate,Worked at Samsung Electronics for 3 years,Master's Degree,Highly Active,"['B10025', 'B10027']"
U10004,최유진,choi.yujin@example.com,Career Change to Design,"['Graphic Design', 'Visual Communication']",Beginner,"[]",Completed online graphic design course,Worked in marketing for 5 years,Bachelor's Degree,Moderate,"['B10024', 'B10026', 'B10023']"
U10005,정하영,jung.hayoung@email.net,Become Professional Translator,"['Korean Translation', 'English Proficiency']",Intermediate,"['B10041']",Completed Korean-English Translation course at Hankuk University,Freelance translator for 2 years,Master's Degree,Highly Active,"['B10042', 'B10043']"
U10006,강태민,kang.taemin@gmail.com,Expand Translation Expertise,"['Technical Writing', 'Legal Translation']",Advanced,"['B10041', 'B10042']",Completed Technical Translation Specialization,Worked at LG Electronics for 4 years,Master's Degree,Moderate,"['B10043', 'B10049']"
U10007,윤소희,yoon.sohee@example.org,Start Photography Career,"['Camera Operation', 'Photo Editing']",Beginner,"[]",Currently taking photography classes,Working as marketing assistant,Bachelor's Degree,Highly Active,"['B10062', 'B10069', 'B10076']"
U10008,임재현,lim.jaehyun@email.com,Become Wedding Photographer,"['Portrait Photography', 'Event Photography']",Intermediate,"['B10061', 'B10062']",Completed Portrait Photography Masterclass,Assistant photographer for 3 years,High school,Moderate,"['B10063', 'B10073']"
U10009,신예은,shin.yeeun@gmail.com,Career in Elementary Education,"['Child Development', 'Classroom Management']",Advanced,"['B10081', 'B10082']",Completed Elementary Teaching Certification,Teaching assistant for 2 years,Master's Degree,Highly Active,"['B10089', 'B10094']"
U10010,조민석,cho.minseok@example.net,Specialize in Special Education,"['Special Education', 'Inclusive Teaching']",Intermediate,"['B10083']",Currently enrolled in Special Education program,Volunteer at special needs school,Bachelor's Degree,Moderate,"['B10082', 'B10089']"
U10011,배수진,bae.sujin@email.co.kr,Become Classical Musician,"['Classical Performance', 'Music Theory']",Advanced,"['B10101', 'B10102']",Graduated from Seoul National University Music Department,Performed with Seoul Philharmonic,Master's Degree,Highly Active,"['B10113', 'B10116']"
U10012,한동호,han.dongho@gmail.com,Career in Music Production,"['Audio Recording', 'Music Technology']",Intermediate,"['B10103']",Completed Audio Production course at Berkeley Music,Worked at SM Entertainment for 2 years,Bachelor's Degree,Moderate,"['B10104', 'B10106', 'B10119']"
U10013,오지현,oh.jihyun@example.com,Start Career in Finance,"['Financial Analysis', 'Investment Banking']",Beginner,"[]",Currently studying for CFA exam,Recent economics graduate,Bachelor's Degree,Highly Active,"['B10121', 'B10122', 'B10125']"
