user_id,name,email,goal,skills,competency_level,acquired_badges,learning_history,employment_history,education_level,engagement_metrics,recommendation_history
U00001,Veronica Estrada,coltonortega@example.org,Become a Software Engineer,['DevOps'],Intermediate,['B01296'],Completed the 'Deep Learning Master' course at Udacity,"Worked at Perez, Brewer and Blanchard for 5 years",Master's Degree,Moderate,['B00972']
U00002,Alex James,nicole98@example.com,Become a Cloud Engineer,"['UI/UX', 'SQL', 'Deep Learning']",Advanced,"['B03848', 'B06236']",Completed the 'DevOps Engineer' course at edX,Worked at Brooks Ltd for 3 years,High School,Low,[]
U00003,Carla Kelly,matthewruiz@example.net,Become a Data Scientist,['Machine Learning'],Beginner,['B04607'],Completed the 'Deep Learning Master' course at IBM,Worked at Hebert-Montgomery for 3 years,Master's Degree,Low,[]
U00004,Charles Spencer,lynn50@example.org,Become a Data Scientist,"['UI/UX', 'Machine Learning', 'Deep Learning', 'SQL']",Beginner,"['B04986', 'B05955', 'B05543', 'B02357']",Completed the 'Cybersecurity Professional' course at edX,Worked at Wood-Martinez for 4 years,PhD,Low,"['B07892', 'B05721', 'B09758']"
U00005,Joel Rios,christopher13@example.org,Become a Data Scientist,"['Cybersecurity', 'Cloud Computing']",Intermediate,[],Completed the 'AI Specialist' course at edX,"Worked at Butler, Underwood and Lawson for 3 years",Master's Degree,Highly Active,"['B02683', 'B05309']"
U00006,Stephen Herrera,elizabeth25@example.org,Become a Cloud Engineer,"['Cybersecurity', 'Cloud Computing', 'Machine Learning']",Advanced,"['B08745', 'B04813', 'B08702']",Completed the 'Python Certification' course at Coursera,Worked at Johnson-Jones for 5 years,PhD,Low,"['B01902', 'B03928']"
U00007,Mary Cruz,isaacjones@example.org,Become an AI Expert,"['Deep Learning', 'Python', 'Cloud Computing']",Intermediate,"['B07798', 'B00004', 'B05359']",Completed the 'Data Science Expert' course at IBM,Worked at Berry Group for 3 years,PhD,Highly Active,['B02492']
U00008,Crystal West,cstewart@example.org,Become a Data Scientist,"['Deep Learning', 'Machine Learning', 'Cloud Computing', 'Cybersecurity']",Intermediate,"['B02719', 'B05648', 'B08638', 'B04993', 'B02631']",Completed the 'UI/UX Designer' course at Google,Worked at Peterson Inc for 2 years,Bachelor's Degree,Moderate,[]
U00009,Donna Thompson,christophercarter@example.com,Become a Machine Learning Researcher,['DevOps'],Beginner,"['B06446', 'B01455', 'B03182', 'B09116', 'B06295']",Completed the 'Data Science Expert' course at Google,"Worked at Tran, Mcdowell and Norris for 2 years",High School,Moderate,[]
U00010,Duane Smith,gilbertthomas@example.net,Become a Software Engineer,"['Python', 'Deep Learning', 'Data Analysis']",Advanced,"['B09590', 'B08152', 'B02998', 'B06620', 'B00393']",Completed the 'Big Data Analyst' course at edX,Worked at Reed-Armstrong for 2 years,PhD,Low,['B03962']
